reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,cleaned_content,sentiment
b024f5af-5691-487a-beca-bf671fe31488,Bereket Amare,https://play-lh.googleusercontent.com/a/ACg8ocJPUB8jyI7-zGY079Wtit2SU-fBl6T4PKvqEaDH5dNVw5PuFQ=mo,wow what a nice trip,5,0,0.46.04,2025-08-16T10:31:52,,,0.46.04,wow nice trip,positive
ccc0d133-0657-4d9d-872f-7b4184f4d8a0,Murti Teha,https://play-lh.googleusercontent.com/a-/ALV-UjVayJMZWHmiuUFd9fww-r5K1gyb8UatG37HVUDBkKzOa0ghTG4,v.good,4,0,,2025-08-14T07:48:23,,,,vgood,positive
d74bf9a5-5345-4e63-b6d1-ef4b1d8038a4,Daniel Abebe,https://play-lh.googleusercontent.com/a-/ALV-UjXR1MKSUJX3qxyZ8m00QZ8CTlVA-2An2rpr7gYL3nU0lakPJxk6,we served wt respect. keep up the good work.,5,0,0.47.01,2025-08-13T16:00:38,,,0.47.01,served wt respect keep good work,positive
ad743251-5236-4ade-b185-bf5acaa6d5cf,Walelign,https://play-lh.googleusercontent.com/a-/ALV-UjXaQ7JcxYfLqqQWO_f2gcLakwKRqdwz83c6R38zouMcXGns_-o7,Had a calm and helpful driver!,5,0,0.47.01,2025-08-13T13:09:36,,,0.47.01,calm helpful driver,positive
34217426-ee50-4112-9444-d3829274646d,Meseret Damte,https://play-lh.googleusercontent.com/a/ACg8ocJ3oJYeWUKHOvCFzq-SMYTm6qUDgKKl_6wJPWP-VsMnwXfbSg=mo,nice one,4,0,0.47.01,2025-08-12T18:00:26,,,0.47.01,nice one,positive
a631fd44-fe6b-479c-9b8e-990b7d5a284d,Muhammed Gosaye,https://play-lh.googleusercontent.com/a-/ALV-UjX1UlccEwWGFX7I8cKFDYAnmOzCTygQi02WwOhHcGiXxfjxAFK-,nice,3,0,0.45.08,2025-08-07T10:56:18,,,0.45.08,nice,positive
ad1166b7-5332-407f-a8e7-128d70d1ea06,Nigel Mubvumbi,https://play-lh.googleusercontent.com/a-/ALV-UjVu5HnRT892R698Y4TzxalvZBCJuzBwMFv6LCHLpRby3MUYepnI,Smooth app accurate location Hi5 Hybrid designs.,3,0,0.47.01,2025-08-03T20:29:19,,,0.47.01,smooth app accurate location hi5 hybrid designs,positive
143cb4a3-e102-40f5-84ec-11ba2c6782cb,Amanuel Berhanu,https://play-lh.googleusercontent.com/a-/ALV-UjXtGD14Yc9ZMsDy-kH6YfSqxAGH6CJz_rdD-7wEodYjyFKXOvU0,please drivers need to keep your can inside smell clean its very dirty all cars and stinks,4,0,0.45.04,2025-08-01T07:11:52,,,0.45.04,please drivers need keep inside smell clean dirty cars stinks,negative
06fd7553-d970-4cb3-9203-63b818886f9d,Revolution Five five,https://play-lh.googleusercontent.com/a/ACg8ocLkW6KrebuWIbd4vfl7Sg693aVykqsFrXUkcefNZi7LI23V7g=mo,Nice car and good service,5,0,0.46.04,2025-07-30T02:22:02,,,0.46.04,nice car good service,positive
80444c02-43b4-4074-bb72-8bfaee6fb6a1,Barii Mootii,https://play-lh.googleusercontent.com/a/ACg8ocJEBXzOwK9W4orjolUrJG-dxhokGj2Cb5-E21rn0qtOHmXKIA=mo,thank you!,5,0,,2025-07-29T18:12:06,,,,thank,positive
